incident_reference,imb_incident_number,incident_type,incident_action,territorial_water_status,closest_coastal_state,closest_state_cow_code,location_description,day,month,year,lat_decimal_degrees,long_decimal_degrees,location_precision,geolocation_source,vessel_name,flag,flag_cow_code,vessel_type,steaming_or_stationary,number_of_assailants,armed,weaponry,violence,violence_dummy,type_of_stolen_goods,port_response_received,ransom_paid,steaming_recode,incident_type_recode,incident_action_recode,time_day,converted_time
1428,,actual,boarded,indonesia,indonesia,850,"tanjung_priok,_indonesia",10,6,2000,-6.097666667,106.9025,2,imb,sis_pacer,unspecified,-99,4,anchored,8,1,steel_pipes,3,1,unspecified,1,0,2,1,2,-99,
1429,,actual,boarded,malaysia,malaysia,820,"pulau_undan,_malacca_straits",12,6,2000,1.883333333,102.4166667,1,imb,chahaya_victory,honduras,91,6,steaming,unspecified,0,unspecified,0,0,"documents,_cash",1,0,1,1,2,-99,
1430,,actual,boarded,bangladesh,bangladesh,771,"chittagong_anchorage,_bangladesh",20,6,2000,22.23833333,91.82666667,2,imb,chettinad_glory,india,750,2,anchored,6,1,knives,3,1,stores,1,0,2,1,2,-99,
1431,,actual,boarded,bangladesh,bangladesh,771,"chittagong,_bangladesh",21,6,2000,22.23833333,91.82666667,2,imb,actuaria,panama,95,4,berthed,unspecified,0,unspecified,0,0,cargo_lashing,1,0,3,1,2,-99,
1432,,actual,boarded,cameroon,cameroon,471,"douala,_cameroon",23,6,2000,4.043166667,9.666666667,2,imb,scan_eagle,unspecified,-99,4,berthed,unspecified,1,unspecified,4,1,stores,1,0,3,1,2,-99,
1433,,actual,boarded,thailand,thailand,800,"laem_chabang,_thailand",23,6,2000,13.071,100.8905,2,imb,p&o_nedlloyd_chicago,liberia,475,8,anchored,3,0,unspecified,0,0,unspecified,0,0,2,1,2,-99,
1435,,actual,boarded,sri_lanka,sri_lanka,780,"petro_point,_sri_lanka_",26,6,2000,9.8358,80.2114,2,imb,mercs_uhana,sri_lanka,780,6,steaming,unspecified,1,explosive_device,5,1,none,1,0,1,1,2,-99,
1434,,actual,boarded,indonesia,indonesia,850,"tanjung_santan,_indonesia",26,6,2000,-0.1,117.5265,2,imb,baroness,singapore,830,8,anchored,unspecified,0,unspecified,0,0,stores,1,0,2,1,2,-99,
1436,,actual,boarded,indonesia,indonesia,850,"tanjung_priok,_indonesia",27,6,2000,-6.097666667,106.9025,2,imb,iman,turkey,640,2,anchored,5,0,unspecified,0,0,none,1,0,2,1,2,-99,
1437,,actual,boarded,malaysia,malaysia,820,malacca_straits,28,6,2000,2.135,102.0533333,1,imb,humen_bridge,germany,265,4,steaming,unspecified,1,long_knives,3,1,"cash,_personal_belongings",1,0,1,1,2,-99,
1438,,actual,boarded,dominican_republic,dominican_republic,42,"rio_haina,_dominican_republic",29,6,2000,18.41883333,-70.03,2,imb,ilga,st._vincent_&_grenadines,57,2,berthed,unspecified,0,unspecified,0,0,equipment,1,0,3,1,2,-99,
1439,,attempted,,thailand,thailand,800,"kosichange_harbor,_thailand",30,6,2000,13.138,100.825,2,imb,cape_cornwall,liberia,450,2,anchored,unspecified,0,unspecified,0,0,none,1,0,2,0,-99,-99,
1441,,actual,boarded,guinea,guinea,438,"conakry,_guinea",2,7,2000,9.509833333,-13.70933333,2,imb,venezia,malta,338,6,berthed,unspecified,1,guns,4,1,unspecified,1,0,3,1,2,-99,
1440,,actual,boarded,malaysia,malaysia,820,"container_terminal,_penang,_malaysia",2,7,2000,5.386333333,100.365,2,imb,kota_selamat,qatar,694,4,anchored,unspecified,0,unspecified,0,0,unspecified,1,0,2,1,2,-99,
1443,,actual,boarded,colombia,colombia,100,"puerto_bolivar,_ecuador_(port_is_located_in_colombia)",3,7,2000,12.25166667,-71.97283333,2,imb,minnesota,malta,338,10-refrigerated_cargo,anchored,unspecified,1,guns,4,1,unspecified,1,0,2,1,2,-99,
1442,,actual,boarded,venezuela,venezuela,101,"guanta_port,_venezuela",3,7,2000,10.24283333,-64.59,2,imb,atl_endurance,panama,95,6,berthed,6,1,knives,4,1,cargo,1,0,3,1,2,-99,
1447,,actual,hijacked,somalia,somalia,520,"bargal,_somalia_",4,7,2000,11.2854,51.0801,2,imb,mad_express,france,220,1,anchored,unspecified,1,guns,4,1,unspecified,1,0,2,1,1,-99,
1446,,actual,boarded,iran,iran,630,"bandar_abbas,_iran",4,7,2000,27.13783333,56.204,2,imb,al_badiyah,kuwait,692,8,anchored,unspecified,0,unspecified,0,0,stores,1,0,2,1,2,-99,
1445,,actual,boarded,bangladesh,bangladesh,771,"mongla,_bangladesh",4,7,2000,22.4855,89.58583333,2,imb,handy_lily,philippines,840,10-log_carrier,anchored,5,1,knives,3,1,"stores,_zinc_anodes",1,0,2,1,2,-99,
1444,,actual,boarded,indonesia,indonesia,850,"belawan,_indonesia",4,7,2000,3.783666667,98.70066667,2,imb,dorothea_oldendorff,liberia,450,2,berthed,3,0,unspecified,0,0,none,1,0,3,1,2,-99,
1448,,actual,boarded,bangladesh,bangladesh,771,"chittagong_roads,_bangladesh",6,7,2000,22.23833333,91.82666667,2,imb,kapitan_petko_voivoda,bulgaria,355,6,anchored,4,0,unspecified,0,0,stores,1,0,2,1,2,-99,
1449,,actual,boarded,indonesia,indonesia,850,"durian_straits,_indonesia_",7,7,2000,0.7,103.7,4,imb,top_star,liberia,450,6,steaming,5,1,long_knives,4,1,"cash,_personal_belongings",1,0,1,1,2,-99,
1451,,actual,boarded,bangladesh,bangladesh,771,"chittagong_anchorage,_bangladesh",10,7,2000,22.23833333,91.82666667,2,imb,boxer_capitan_cook,bermuda,-99,10-roro,anchored,21,0,unspecified,2,1,personal_belongings,1,0,2,1,2,-99,
1450,,actual,boarded,indonesia,indonesia,850,"samarinda_river_road,_indonesia",10,7,2000,-0.540166667,117.1383333,2,imb,tradenes,panama,95,6,anchored,4,1,knives,4,1,equipment,1,0,2,1,2,-99,
1452,,actual,boarded,ecuador,ecuador,130,"guayaquil,_ecuador",12,7,2000,-2.52,-80.08666667,2,imb,consensus,norway,385,10-reefer,anchored,3,1,knives,4,1,"equipment,_cargo",1,0,2,1,2,-99,
1453,,actual,boarded,nigeria,nigeria,475,"lagos,_nigeria",12,7,2000,6.441666667,3.386666667,2,imb,medemsand,panama,95,10-refrigerated_cargo,berthed,unspecified,1,knives,3,1,cash,1,0,3,1,2,-99,
1454,,actual,boarded,thailand,thailand,800,"kosichang_roads,_thailand",12,7,2000,13.138,100.825,2,imb,ever_happy,malta,338,6,anchored,4,0,unspecified,0,0,unspecified,1,0,2,1,2,-99,
