Incident Reference,Incident Type,Incident Action,Territorial Water Status,Closest Coastal State,Closest State COW Code,IMO?,Location Description,Day,Month,Year,Hour (24-Hr Format),Latitude GPS,Latitude Direction,Lat Degrees,Lat Minutes,Lat Decimal Degrees,Longitude GPS,Longitude Direction,Long Degrees,Long Minutes,Long Decimal Degrees,Location Precision,Geolocation Source,Vessel Name,Flag,Flag COW Code,Vessel Type,Steaming or Stationary,Number of Assailants,Armed,Weaponry,Violence,Violence Dummy,Type of Stolen Goods,Port Response Received,Ransom Paid,Steaming Recode,Incident_type_recode,Incident_action_recode,Time_Day,Converted Time
4946,Actual,Boarded,Nigeria,Nigeria,475,,"Lagos, Nigeria (Ship was berthed, so port coordinates for the Port of Lagos aka Apapa were used from other cases)",23,9,2010,19:45,6:27.0,North,6.0000,27.0000,6.4500,3:22.6,East,3.0000,22.6000,3.3767,2,IMB,IS Trinity,Panama,95,2,Berthed,5,1,Knives,3,1,0,1,0,3,1,2,3,7:45:00 PM
4959,Actual,Boarded,Brazil,Brazil,140,,"Vila do Conde Anchorage, Brazil",2,10,2010,3:45,1:31.4,South,1.0000,31.4000,-1.5233,48:45.6,West,48.0000,45.6000,-48.7600,1,IMB,Diamond Ocean,Panama,95,2,Anchored,5,0,Unknown,0,0,0,0,0,2,1,2,4,3:45:00 AM
4957,Attempted,,Somalia,Somalia,520,,Off Somalia,2,10,2010,8:30,3:53.0,North,3.0000,53.0000,3.8833,50:35.8,East,50.0000,35.8000,50.5967,1,IMB,Amira S,Panama,95,2,Steaming,3,1,Guns,4,1,0,1,0,1,0,-99,1,8:30:00 AM
5004,Attempted,Fired Upon,Kenya,Kenya,501,,"(Off Mombasa, Kenya), Off Somalia",2,11,2010,5:50,4:01.0,South,4.0000,1.0000,-4.0167,41:38.0,East,41.0000,38.0000,41.6333,1,IMB,Majestic,Panama,95,2,Steaming,7,1,Guns,4,1,0,1,0,1,0,3,4,5:50:00 AM
5007,Attempted,Fired Upon,Kenya,Kenya,501,,"(150 NM East of Mombasa, Kenya), Off Somalia",2,11,2010,3:00,3:58.6,South,3.0000,58.6000,-3.9767,43:49.0,East,43.0000,49.0000,43.8167,1,IMB,Majestic,Panama,95,2,Steaming,7,1,"Guns, RPG",4,1,0,1,0,1,0,3,4,3:00:00 AM
5008,Actual,Boarded,Indonesia,Indonesia,850,,"Belawan Port, Indonesia (Port coordinates from other observations)",2,11,2010,4:20,3:55.1,North,3.0000,55.1000,3.9183,98:46.9,East,98.0000,46.9000,98.7817,2,IMB,Libre,Panama,95,2,Berthed,3,1,Long knives,3,1,0,1,0,3,1,2,4,4:20:00 AM
5015,Actual,Boarded,Indonesia,Indonesia,850,,"Around 40nm W of Kepulauan Tambelan, Indonesia",6,11,2010,19:53,1:01.0,North,1.0000,1.0000,1.0167,106:41.0,East,106.0000,41.0000,106.6833,1,IMB,Mineral Hokkaido,Panama,95,2,Steaming,6,1,Long knives,4,1,0,1,0,1,1,2,3,7:53:00 PM
5032,Actual,Boarded,Indonesia,Indonesia,850,,"Berth No. 5, Gresik Port, Indonesia",16,11,2010,3:15,7:08.5,South,7.0000,8.5000,-7.1417,112:39.5,East,112.0000,39.5000,112.6583,1,IMB,Valente Angel,Panama,95,2,Berthed,2,1,Knives,3,1,0,1,0,3,1,2,4,3:15:00 AM
5039,Attempted,Fired Upon,Internationa Waters (Indian Ocean),Maldives,781,,"(India Ocean), Off Somalia",20,11,2010,7:15,1:07.0,South,1.0000,7.0000,-1.1167,67:05.0,East,67.0000,5.0000,67.0833,1,IMB,Graceful Madonna,Panama,95,2,Steaming,Unspecified,1,Guns,4,1,0,1,0,1,0,3,1,7:15:00 AM
5051,Attempted,Fired Upon,Internationa Waters (Arabian Sea),India,750,,"(Around 690 NM ESE of Salalah), Off Somalia",24,11,2010,11:10,14:44.6,North,14.0000,44.6000,14.7433,65:59.7,East,65.0000,59.7000,65.9950,1,IMB,Pagona,Panama,95,2,Steaming,5,1,Guns,4,1,0,1,0,1,0,3,1,11:10:00 AM
5056,Attempted,Fired Upon,Maldives,Maldives,781,,"(Around 185 NM West of Maldives Islands), Off Somalia",26,11,2010,0:50,--:20.0,South,0.0000,20.0000,-0.3333,69:54.0,East,69.0000,54.0000,69.9000,1,IMB,Medi Chennai,Panama,95,2,Steaming,6,1,Guns,4,1,0,1,0,1,0,3,4,12:50:00 AM
5062,Actual,Boarded,Guinea,Guinea,438,,"Conakry Roads, Guinea",28,11,2010,3:30,9:22.0,North,9.0000,22.0000,9.3667,13:47.0,West,13.0000,47.0000,-13.7833,1,IMB,Luxury SW,Panama,95,2,Anchored,6,1,Guns,3,1,0,0,0,2,1,2,4,3:30:00 AM
5073,Actual,Hijacked,Internationa Waters (Arabian Sea),Maldives,781,,"Around 360nm SW of Minicoy Island, off Somalia",11,12,2010,5:40,6:09.0,North,6.0000,9.0000,6.1500,67:19.0,East,67.0000,19.0000,67.3167,1,IMB,Renuar,Panama,95,2,Steaming,Unspecified,1,"Guns, RPG",4,1,0,1,0,1,1,1,4,5:40:00 AM
5087,Actual,Hijacked,Internationa Waters (Indian Ocean),Seychelles,591,,"950nm E of Mogadishu, off Somalia",20,12,2010,11:29,1:42.0,South,1.0000,42.0000,-1.7000,60:52.0,East,60.0000,52.0000,60.8667,1,IMB,Orna,Panama,95,2,Steaming,Unspecified,1,Unknown,4,1,0,1,0,1,1,1,1,11:29:00 AM
5095,Attempted,,Mozambique,Mozambique,541,,"(Around 205 NM Off Beira, Mozambique), Off Somalia",25,12,2010,8:30,19:4.8,South,19.0000,4.8000,-19.0800,38:42.0,East,38.0000,42.0000,38.7000,1,IMB,Majestic,Panama,95,2,Steaming,8,1,Guns,4,1,0,1,0,1,0,-99,1,8:30:00 AM
5111,Attempted,,Internationa Waters (Arabian Sea),Oman,698,,"Around 220NM ESE of Ras al Hadd, Oman. Off Somalia",6,1,2011,8:15,21:04,North,21.0000,4.0000,21.0667,063:21,East,63.0000,21.0000,63.3500,1,IMB,Achilleas,Panama,95,2,Steaming,5,1,Unspecified,1,1,0,1,0,1,0,-99,1,8:15:00 AM
5158,Attempted,,Iran,Iran,630,,"Off Chabahar, Iran, Gulf of Oman. Off Somalia",30,1,2011,10:13,25:02,North,25.0000,2.0000,25.0333,060:23,East,60.0000,23.0000,60.3833,1,IMB,Star of Abu Dhabi,Panama,95,2,Steaming,Unspecified,1,Unspecified,1,1,0,1,0,1,0,-99,1,10:13:00 AM
5169,Attempted,,Yemen,Yemen,679,,"Bab El Mandeb, Red Sea",10,2,2011,14:40,13:09.6,North,13.0000,9.6000,13.1600,043:06.5,East,43.0000,6.5000,43.1083,1,IMB,CS Daisy,Panama,95,2,Steaming,16 to 24,1,Guns,0,0,0,1,0,1,0,-99,2,2:40:00 PM
