Incident Reference,IMB incident number,Incident Type,Incident Action,Territorial Water Status,Closest Coastal State,Closest State COW Code,Location Description,Day,Month,Year,Lat Decimal Degrees,Long Decimal Degrees,Location Precision,Geolocation Source,Vessel Name,Flag,Flag COW Code,Vessel Type,Steaming or Stationary,Number of Assailants,Armed,Weaponry,Violence,Violence Dummy,Type of Stolen Goods,Port Response Received,Ransom Paid,Steaming Recode,Incident_type_recode,Incident_action_recode,Time_Day,Converted Time
574,,Actual,Boarding,India,India,750,"Kandla Anchorage, India",26,2,1997,22.8196667,76.0368333,2,IMB,,Russia,365,,Anchored,Unspecified,0,Unspecified,,0,1,1,0,2,1,2,-99,
575,,Attempted,,Nigeria,Nigeria,475,"Warri, Nigeria",27,2,1997,5.5,5.7166667,4,IMB,,,,,Berthed,Unspecified,1,Guns,,1,0,1,0,3,0,-99,-99,
576,,Attempted,,India,India,750,"Kandla Anchorage, India",28,2,1997,22.8196667,76.0368333,2,IMB,,Malta,338,8,Anchored,Unspecified,0,Unspecified,,0,0,1,0,2,0,-99,-99,
577,,Actual,Boarding,Brazil,Brazil,140,"Rio de Janeiro, Brazil",3,3,1997,-22.8933333,-43.1666667,4,IMB,Mt Chemical Ruby,Bahamas,31,3,Unspecified,Unspecified,1,Guns,,1,1,1,0,-99,1,2,-99,
579,,Actual,Hijacked,Yemen,Yemen,679,"Gulf of Aden, Yemen",5,3,1997,12.5182,47.6446,4,IMB,,Yemen,679,5,Unspecified,Unspecified,0,Unspecified,,1,0,1,0,-99,1,1,-99,
578,,Actual,Hijacked,Malaysia,Malaysia,820,Indonesia,5,3,1997,1.5666667,104.6,1,IMB,Wint Thai No. 1,Honduras,91,6,Unspecified,Unspecified,0,Unspecified,,1,0,1,0,-99,1,1,-99,
580,,Attempted,,Somalia,Somalia,520,Somalia,7,3,1997,12.1166667,50.8333333,1,IMB,Helena,,,8,Steaming,Unspecified,1,Grenade launchers,,1,0,1,0,1,0,-99,-99,
581,,Actual,Boarding,Brazil,Brazil,140,"Rio de Janeiro, Brazil",9,3,1997,-22.8933333,-43.1666667,4,IMB,Libra Buenos Aires,Antigua and Barbuda,58,6,Unspecified,Unspecified,1,Guns,,0,1,1,0,-99,1,2,-99,
582,,Actual,Boarding,Nigeria,Nigeria,475,Nigeria,11,3,1997,4.0699,4.7561,4,IMB,,,,1,Unspecified,Unspecified,0,Unspecified,,1,0,1,0,-99,1,2,-99,
583,,Actual,Boarding,Philippines,Philippines,840,"Off Basilan Islands, Philippines",13,3,1997,6.8048,121.7486,4,IMB,Rakam,,,9,Unspecified,Unspecified,1,Guns,,1,0,1,0,-99,1,2,-99,
584,,Attempted,,Thailand,Thailand,800,"Leam Chabang, Thailand",15,3,1997,13.0666667,100.8666667,2,IMB,Oriental Bright,Panama,95,4,Unspecified,Unspecified,0,Unspecified,,0,0,1,0,-99,0,-99,-99,
585,,Actual,Boarding,Indonesia,Indonesia,850,"Tarahan, Panjang, Indonesia",16,3,1997,-5.4666667,105.1666667,4,IMB,Great Calm,Hong Kong,710,2,Unspecified,5,1,Swords,,1,0,1,0,-99,1,2,-99,
586,,Actual,Boarding,India,India,750,"Tuitcorn, India",18,3,1997,8.75,78.3,4,IMB,Grobnik ,Malta,338,6,Unspecified,Unspecified,0,Unspecified,,0,1,1,0,-99,1,2,-99,
587,,Actual,Boarding,Cote d'Ivoire,Cote d'Ivoire,437,"Abidjan, Ivory Coast",28,3,1997,5.2931667,-4,4,IMB,Jean Alleaume,France,220,7,Unspecified,Unspecified,0,Unspecified,,0,1,1,0,-99,1,2,-99,
588,,Attempted,,Vietnam,Vietnam,816,10NM South off Vietnam,28,3,1997,11.0698,108.3251,3,IMB,Ratana Sopa,Denmark,390,6,steaming,Unspecified,1,Guns,,1,0,1,0,1,0,-99,-99,
589,,Attempted,,Bangladesh,Bangladesh,771,"Mongla, Bangladesh",,3,1997,22.4765,89.5765,4,IMB,Gold Spring,,,,Unspecified,Unspecified,0,Unspecified,,0,0,1,0,-99,0,-99,-99,
